id,email,name,tours_count,reviews_count,followers_count,completed_tours_count,fake_email,total_tours_views,favourites_count,distance_travelled,country,time_travelled,tours_taken_count,tour_downloads_count
1,user_1@email.com,User 1,0,0,0,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
2,user_2@email.com,User 2,2,3,1,5,False,1,9,0.0,UNKNOWN,2985.29,0.0,0
3,user_3@email.com,User 3,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
4,user_4@email.com,User 4,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
5,user_5@email.com,User 5,1,0,5,2,False,1,4,0.0,UNKNOWN,2717.03,0.0,0
6,user_6@email.com,User 6,3,2,4,4,False,753,6,0.0,UNKNOWN,10763.7,0.0,0
7,user_7@email.com,User 7,0,0,0,0,False,1,4,0.0,UNKNOWN,0.0,0.0,0
8,user_8@email.com,User 8,0,0,0,0,False,0,1,0.0,UNKNOWN,0.0,0.0,0
9,user_9@email.com,User 9,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
11,user_11@email.com,User 11,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
12,user_12@email.com,User 12,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
13,user_13@email.com,User 13,0,0,0,0,False,2,0,0.0,UNKNOWN,0.0,0.0,0
14,user_14@email.com,User 14,4,4,1,13,False,0,22,0.0,United Kingdom,12288.63,0.0,1
15,user_15@email.com,User 15,0,0,0,0,False,0,1,0.0,UNKNOWN,0.0,0.0,0
16,user_16@email.com,User 16,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
17,user_17@email.com,User 17,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
18,user_18@email.com,User 18,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
19,user_19@email.com,User 19,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
20,user_20@email.com,User 20,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
21,user_21@email.com,User 21,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
22,user_22@email.com,User 22,0,0,0,0,False,0,2,0.0,UNKNOWN,0.0,0.0,0
23,user_23@email.com,User 23,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
24,user_24@email.com,User 24,3,0,1,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
25,user_25@email.com,User 25,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
26,user_26@email.com,User 26,3,0,2,0,False,560,0,0.0,UNKNOWN,0.0,0.0,0
27,user_27@email.com,User 27,6,0,2,0,False,905,4,0.0,UNKNOWN,0.0,0.0,0
28,user_28@email.com,User 28,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
29,user_29@email.com,User 29,14,0,8,0,False,805,0,0.0,UNKNOWN,0.0,0.0,0
30,user_30@email.com,User 30,1,0,0,0,False,587,0,0.0,UNKNOWN,0.0,0.0,0
31,user_31@email.com,User 31,3,0,1,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
32,user_32@email.com,User 32,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
33,user_33@email.com,User 33,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
34,user_34@email.com,User 34,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
35,user_35@email.com,User 35,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
36,user_36@email.com,User 36,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
37,user_37@email.com,User 37,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
38,user_38@email.com,User 38,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
39,user_39@email.com,User 39,4,0,5,0,False,1,7,0.0,UNKNOWN,0.0,0.0,0
40,user_40@email.com,User 40,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
41,user_41@email.com,User 41,0,0,0,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
42,user_42@email.com,User 42,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
43,user_43@email.com,User 43,0,0,0,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
44,user_44@email.com,User 44,0,0,0,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
45,user_45@email.com,User 45,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
46,user_46@email.com,User 46,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
47,user_47@email.com,User 47,0,0,0,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
48,user_48@email.com,User 48,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
49,user_49@email.com,User 49,1,0,1,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
50,user_50@email.com,User 50,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
51,user_51@email.com,User 51,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
52,user_52@email.com,User 52,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
53,user_53@email.com,User 53,0,0,0,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
54,user_54@email.com,User 54,0,0,0,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
55,user_55@email.com,User 55,0,0,0,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
56,user_56@email.com,User 56,0,0,0,0,False,1,0,0.0,UNKNOWN,0.0,0.0,0
57,user_57@email.com,User 57,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
58,user_58@email.com,User 58,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
59,user_59@email.com,User 59,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
60,user_60@email.com,User 60,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
61,user_61@email.com,User 61,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
62,user_62@email.com,User 62,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
63,user_63@email.com,User 63,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
64,user_64@email.com,User 64,0,0,0,0,False,0,0,0.0,UNKNOWN,0.0,0.0,0
